Library,month,visits
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2014-09,1500
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2014-10,1248
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2014-11,1391
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2014-12,939
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-01,1030
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-02,1271
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-03,1135
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-04,890
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-05,1052
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-06,1160
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-07,1363
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-08,1169
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-09,1401
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-10,1294
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-11,1209
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-12,889
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-01,1127
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-02,1088
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-03,990
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-04,1122
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-05,1066
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-06,956
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-07,993
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-08,989
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-09,1176
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-10,946
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-11,1016
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-04,5672
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-05,3488
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-06,3488
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-07,3488
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-08,6695
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-09,6695
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-10,6695
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-11,6790
